seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,149.99997802078724,350.25037359446287,874.3049949407578,5210.43854011369
1,111.68746277689934,235.2879149839282,390.14315232634544,7348.50821358513
2,109.97895151376724,214.38903640955687,313.4497022256255,7788.625525953022
3,109.66695845127106,222.53261413425207,376.66189949959517,7623.810207581627
4,110.83343997597694,226.7668955028057,385.7487952336669,7567.68061595242
5,110.10444723069668,208.7461994960904,315.3323754668236,7867.715380185498
6,106.60430416464806,195.35431638360023,267.5382187590003,8287.564677669909
7,107.79150761663914,204.6556444838643,303.03295236080885,8060.723584103885
8,107.91700333356857,211.45862992852926,323.4214475378394,7953.699924266571
9,108.58406312763691,201.27561874687672,289.52833265066147,8034.502300474922

mean,113.31681162118912,227.07172436639667,383.91618710011244,7574.326896988668
