seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,71.5828500688076,119.91184437647462,157.458009198308,5599.075929502659
1,72.04152643680573,114.2794149927795,158.40911772102118,5474.261002779748
2,69.54197306185961,114.49800804257393,151.74909494817257,5641.480793658578
3,69.20855958014727,113.3287325501442,155.20544489845634,5664.626100256157
4,71.87505252659321,119.32568158954382,155.70740215480328,5552.990895190947
5,69.62497718632221,112.45607165619731,153.4567284397781,5642.336253496711
6,69.68749221414328,113.78969065845013,154.536715708673,5659.14355581134
7,70.06258238106966,112.12306562811136,156.82995086535811,5532.678696601067
8,69.75000724196434,114.2058172263205,156.29032161086798,5582.4290020851
9,70.29203698039055,114.45167474448681,156.2054525129497,5626.290004808983

mean,70.36670576781034,114.83700014650822,155.58482380583882,5597.531223419129
