seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,84.58294905722141,183.53881314396858,245.83329912275076,9997.659296197378
1,84.70797911286354,180.65758049488068,230.57872895151377,10156.165439302975
2,84.29167792201042,180.16204703599215,231.8219980224967,10124.612463186488
3,84.33312177658081,179.5367570593953,225.53794085979462,10261.440996657531
4,84.54173803329468,183.33271145820618,231.7892061546445,10161.986285453018
5,83.917286247015,180.70570658892393,228.33083756268024,10254.908833023032
6,84.70797911286354,187.37094942480326,288.0351431667805,9260.622987874463
7,86.5827314555645,185.45594066381454,244.0762659534812,9854.214697017818
8,84.35430936515331,182.20485653728247,243.4994699433446,10013.53663270651
9,86.87516674399376,190.78869372606277,266.9903542846441,9494.864133616442

mean,84.8894938826561,183.375405613333,243.6493244022131,9958.001176503565
