seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,70.12486457824707,163.50019723176956,216.4982445538044,12038.516637900728
1,69.83289495110512,162.16279473155737,222.37515076994896,12023.778227954075
2,69.49994713068008,162.20638062804937,223.24929479509592,12107.939853038723
3,69.45803761482239,161.91070899367332,212.66662515699863,12224.843604122101
4,69.49994713068008,163.03989104926586,219.3657262250781,12097.850435313549
5,69.24988701939583,159.99777242541313,220.15823516994715,12085.127643530164
6,70.66596299409866,167.61464066803455,231.70501459389925,11837.329053307672
7,69.66688670217991,165.2878476306796,222.45011758059263,12033.941727997284
8,69.87480446696281,162.3295247554779,225.91480053961277,11923.928914199421
9,69.87480446696281,163.95673155784607,222.83206693828106,11988.314997810721

mean,69.77480370551348,163.20064896717668,221.7215276323259,12036.157109517444
