seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,70.66712714731693,173.62090293318033,239.90736342966557,11642.814768032842
1,71.45805284380913,176.8288668245077,262.07510847598314,11199.8930843546
2,70.93744352459908,173.08304086327553,251.79996620863676,11488.78690247049
3,72.2086988389492,193.39201971888542,326.35126262903214,10613.359309222695
4,69.16606798768044,162.99753915518522,214.94860760867596,12204.095169730677
5,68.8750296831131,168.36016438901424,241.89751129597425,11955.196732112527
6,69.75000724196434,163.70296943932772,222.32573945075274,12035.831879749665
7,70.39564661681652,170.62528058886528,240.4962945729494,11708.734685098318
8,68.41705180704594,163.5999884456396,219.12358701229095,12287.229962320573
9,70.12509740889072,172.90636897087097,247.74788413196802,11541.54334892763

mean,70.20002231001854,171.9117141328752,246.6673324815929,11667.748584202001
