system,kind_mix,theta,clients,runs,tps_median,tps_std,abort_rate_median,correctness_median,correctness_median_ignoring_integrity,integrity_status,goodput_median,p50_ms_median,p99_ms_median,p99_9_ms_median,contested_median,missing_live_median,multi_live_median
epistemic,moderate,0.9,1,1,755.90,0.00,0.2027,1.0000,1.0000,PASS,602.69,0.925,2.524,2.796,6169,0,0
epistemic,moderate,0.9,32,1,3499.80,0.00,0.2730,1.0000,1.0000,PASS,2544.29,6.748,12.982,16.618,21677,0,0
epistemic,moderate,0.9,8,1,3270.95,0.00,0.2734,1.0000,1.0000,PASS,2376.71,1.751,4.004,4.586,21216,0,0
pg_conf,moderate,0.9,1,1,532.25,0.00,0.3041,0.6477,0.6477,PASS,239.93,1.089,2.776,2.983,5198,0,0
pg_conf,moderate,0.9,32,1,3036.05,0.00,0.3505,INTEGRITY_FAIL,0.6339,FAIL,1250.01,7.174,13.045,16.182,21120,0,11
pg_conf,moderate,0.9,8,1,2934.90,0.00,0.3495,INTEGRITY_FAIL,0.6404,FAIL,1222.66,1.854,4.190,4.727,20920,0,4
pg_heap,moderate,0.9,1,1,1549.75,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.115,2.363,2.578,9062,0,9062
pg_heap,moderate,0.9,32,1,5213.30,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.503,15.697,19.315,23079,0,23079
pg_heap,moderate,0.9,8,1,6003.80,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.489,9.286,11.284,26172,0,26172
pg_llm,moderate,0.9,1,1,8.00,0.00,0.2195,0.5138,0.5138,PASS,3.21,5.904,442.061,464.207,109,0,0
pg_llm,moderate,0.9,8,1,62.75,0.00,0.1929,INTEGRITY_FAIL,0.6217,FAIL,31.49,4.245,451.933,753.847,690,0,7
pg_lww,moderate,0.9,1,1,673.30,0.00,0.0000,0.8952,0.8952,PASS,602.72,1.420,3.019,3.154,4665,0,0
pg_lww,moderate,0.9,32,1,3808.05,0.00,0.0000,INTEGRITY_FAIL,0.8338,FAIL,3175.09,7.162,31.874,52.892,18849,0,78
pg_lww,moderate,0.9,8,1,2913.60,0.00,0.0000,INTEGRITY_FAIL,0.8452,FAIL,2462.64,2.771,5.613,6.512,15435,0,51
pg_mv,moderate,0.9,1,1,547.05,0.00,0.1883,0.8968,0.8968,PASS,398.24,1.067,2.916,3.329,4682,0,0
pg_mv,moderate,0.9,32,1,3450.55,0.00,0.2717,INTEGRITY_FAIL,0.8201,FAIL,2060.83,6.810,12.924,17.688,21365,0,8
pg_mv,moderate,0.9,8,1,2464.50,0.00,0.2607,INTEGRITY_FAIL,0.8424,FAIL,1534.88,1.994,4.559,5.103,17127,0,2
pg_trigger,moderate,0.9,1,1,417.50,0.00,0.2070,0.8949,0.8949,PASS,296.28,1.164,5.421,5.591,3826,0,0
pg_trigger,moderate,0.9,32,1,3377.05,0.00,0.2894,INTEGRITY_FAIL,0.8883,FAIL,2131.63,6.041,22.701,40.318,21364,0,24
pg_trigger,moderate,0.9,8,1,1984.45,0.00,0.2712,INTEGRITY_FAIL,0.8872,FAIL,1283.09,2.010,7.613,8.308,14768,0,7
