dataset,system,clients,isolation,n_writes_attempted,was_subsampled,throughput_writes_per_s,abort_rate,abort_40001,abort_new_loses,abort_check_violation,abort_other,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,contested_slots,correct_on_contested,AA,CRS_KU_Acc,UOCS,Edit_Acc,n_cases,n_cases_full_correct,goodput_correct_writes_per_s,elapsed_s,integrity_status,n_slots_with_gt_1_live,max_live_rows_per_slot
longmemeval,epistemic,1,SR,156,False,4945.52,0.5,0,78,0,0,0.0964375,0.16416254999999993,0.2929983400000019,0.1033456282051282,78,0,0.0,0.0,,,,,0.0,0.016,PASS,0,
longmemeval,epistemic,8,SR,156,False,1942.41,0.673077,79,26,0,0,1.029708,1.744729,1.950146,1.0897369607843137,78,20,0.25641,0.2564102564102564,,,,,162.83,0.026,PASS,0,
longmemeval,epistemic,32,SR,156,False,693.86,0.814103,111,16,0,0,3.747375,6.279767,6.63476676,3.883652344827586,78,12,0.153846,0.15384615384615385,,,,,19.84,0.042,PASS,0,
longmemeval,pg_conf,1,SR,156,False,4703.89,0.5,0,78,0,0,0.089646,0.16331074999999973,0.48575309000000355,0.11184617948717948,78,0,0.0,0.0,,,,,0.0,0.017,PASS,0,
longmemeval,pg_conf,8,SR,156,False,1791.53,0.692308,97,11,0,0,0.966875,1.3908897999999996,1.7206782300000005,0.9731068541666666,78,16,0.205128,0.20512820512820512,,,,,113.07,0.027,NOT_MEASURED,,
longmemeval,pg_conf,32,SR,156,False,478.68,0.852564,125,8,0,0,4.623,5.9125128,8.221259240000004,4.397458304347826,78,7,0.089744,0.08974358974358974,,,,,6.33,0.048,NOT_MEASURED,,
longmemeval,pg_heap,1,SR,156,False,12619.31,0.0,0,0,0,0,0.0599375,0.12142725,0.20398124999999914,0.06848421153846153,78,0,0.0,0.0,,,,,0.0,0.012,NOT_MEASURED,,
longmemeval,pg_heap,8,SR,156,False,5697.59,0.0,0,0,0,0,1.124292,1.6013435,1.8787581499999992,1.1446864551282052,78,32,0.410256,0.41025641025641024,,,,,2337.47,0.027,NOT_MEASURED,,
longmemeval,pg_heap,32,SR,156,False,3876.73,0.0,0,0,0,0,4.3047085,6.56609375,7.883722249999999,4.471376891025641,78,37,0.474359,0.47435897435897434,,,,,1838.96,0.04,NOT_MEASURED,,
longmemeval,pg_llm,1,SR,100,True,0.88,0.49,0,49,0,0,1.358334,1.5978545,431.56725,18.097986098039218,50,1,0.02,0.02,,,,,0.01,57.991,PASS,0,
longmemeval,pg_llm,8,SR,100,True,21.78,0.66,61,5,0,0,0.2856455,0.9939187499999993,1.6748281400000014,0.43992026470588236,50,12,0.24,0.24,,,,,1.78,1.561,NOT_MEASURED,,
longmemeval,pg_llm,32,SR,100,True,8.53,0.83,77,6,0,0,3.692958,6.206708399999999,6.76777528,3.793522,50,8,0.16,0.16,,,,,0.23,1.993,NOT_MEASURED,,
longmemeval,pg_lww,1,SR,156,False,10026.84,0.0,0,0,0,0,0.076458,0.14751,0.22288519999999973,0.08909747435897436,78,76,0.974359,0.9743589743589743,,,,,9769.74,0.016,PASS,0,
longmemeval,pg_lww,8,SR,156,False,1687.62,0.698718,109,0,0,0,0.990791,1.4898206999999999,1.8082953599999996,1.007917574468085,78,18,0.230769,0.23076923076923078,,,,,117.33,0.028,NOT_MEASURED,,
longmemeval,pg_lww,32,SR,156,False,507.4,0.858974,134,0,0,0,4.054563,8.8162681,8.94766486,4.677382590909091,78,11,0.141026,0.14102564102564102,,,,,10.09,0.043,NOT_MEASURED,,
longmemeval,pg_mv,1,SR,156,False,4191.08,0.5,0,78,0,0,0.0970835,0.1975813,0.5236064300000047,0.12692039743589745,78,0,0.0,0.0,,,,,0.0,0.019,PASS,0,
longmemeval,pg_mv,8,SR,156,False,1692.54,0.711538,104,7,0,0,0.877333,1.274383,1.8023799600000001,0.9341518000000001,78,17,0.217949,0.21794871794871795,,,,,106.41,0.027,NOT_MEASURED,,
longmemeval,pg_mv,32,SR,156,False,457.86,0.865385,130,5,0,0,4.096875,6.091833,7.461200200000001,4.331871047619048,78,9,0.115385,0.11538461538461539,,,,,7.11,0.046,NOT_MEASURED,,
longmemeval,pg_trigger,1,SR,156,False,4617.06,0.5,0,78,0,0,0.089771,0.17589994999999986,0.584026770000004,0.11362123076923077,78,0,0.0,0.0,,,,,0.0,0.017,PASS,0,
longmemeval,pg_trigger,8,SR,156,False,1721.11,0.705128,102,8,0,0,0.8637085,1.47557275,1.8468999999999995,0.9748832826086957,78,16,0.205128,0.20512820512820512,,,,,104.1,0.027,PASS,0,
longmemeval,pg_trigger,32,SR,156,False,561.33,0.839744,125,6,0,0,4.463,8.102583199999994,9.707722999999996,4.723378360000001,78,12,0.153846,0.15384615384615385,,,,,13.84,0.045,PASS,0,
memoryagentbench,epistemic,1,SR,37820,False,2439.6,0.378953,0,14332,0,0,0.261958,0.414916,0.4805718800000009,0.26135763947547686,14332,0,0.0,,,,,,0.0,9.628,PASS,0,
memoryagentbench,epistemic,8,SR,37820,False,2199.86,0.761687,25389,3418,0,0,0.831083,1.3522165999999998,1.6205370399999992,0.857724143126595,14332,3740,0.260955,,,,,,136.81,4.097,PASS,0,
memoryagentbench,epistemic,32,SR,37820,False,810.21,0.865653,30851,1888,0,0,4.198875,7.154458,8.584341399999998,4.361480544184215,14332,1988,0.138711,,,,,,15.1,6.271,PASS,0,
memoryagentbench,pg_conf,1,SR,37820,False,1471.76,0.378953,0,14332,0,0,0.4340835,0.7366516499999999,0.7989540900000003,0.4310319120401907,14332,0,0.0,,,,,,0.0,15.959,PASS,0,
memoryagentbench,pg_conf,8,SR,37820,False,1665.05,0.786727,29298,456,0,0,0.943792,1.40946875,1.6509983500000005,0.9652772656831143,14332,2961,0.206601,,,,,,73.37,4.844,NOT_MEASURED,,
memoryagentbench,pg_conf,32,SR,37820,False,723.81,0.876441,32263,884,0,0,4.078583,6.541899799999998,7.910295479999996,4.186091502246951,14332,1740,0.121407,,,,,,10.86,6.456,NOT_MEASURED,,
memoryagentbench,pg_heap,1,SR,37820,False,18636.31,0.0,0,0,0,0,0.049417,0.065792,0.1340340199999999,0.05275041372289794,14332,0,0.0,,,,,,0.0,2.029,NOT_MEASURED,,
memoryagentbench,pg_heap,8,SR,37820,False,7151.84,0.0,0,0,0,0,1.094375,1.5960860499999998,1.8475512699999996,1.1161899174775252,14332,7174,0.500558,,,,,,3579.91,5.288,NOT_MEASURED,,
memoryagentbench,pg_heap,32,SR,37820,False,6973.21,0.0,0,0,0,0,4.4766665,6.681472599999998,7.771353539999999,4.570652716631412,14332,7207,0.502861,,,,,,3506.55,5.424,NOT_MEASURED,,
memoryagentbench,pg_llm,1,SR,100,True,1.6,0.32,0,32,0,0,0.617479,672.1870732499985,1575.2826874999987,82.58183826470588,36,4,0.111111,,,,,,0.12,42.398,PASS,0,
memoryagentbench,pg_llm,8,SR,100,True,18.77,0.67,64,3,0,0,0.264125,1.0021165999999997,1.6598381199999996,0.41619557575757576,36,6,0.166667,,,,,,1.03,1.758,NOT_MEASURED,,
memoryagentbench,pg_llm,32,SR,100,True,7.92,0.85,83,2,0,0,5.410459,9.7465499,9.761576380000001,5.152613933333334,36,3,0.083333,,,,,,0.1,1.893,NOT_MEASURED,,
memoryagentbench,pg_lww,1,SR,37820,False,1199.85,0.0,0,0,0,0,0.7747705,1.757883349999999,1.9963574999999982,0.8320951939978848,14332,14332,1.0,,,,,,1199.85,31.521,PASS,0,
memoryagentbench,pg_lww,8,SR,37820,False,1716.63,0.776177,29355,0,0,0,0.947291,1.4215414,1.6708348800000004,0.974211761252215,14332,3197,0.223067,,,,,,85.71,4.931,NOT_MEASURED,,
memoryagentbench,pg_lww,32,SR,37820,False,776.48,0.871074,32944,0,0,0,3.9951665,6.60331225,7.84818775,4.125628575471699,14332,1756,0.122523,,,,,,12.27,6.28,NOT_MEASURED,,
memoryagentbench,pg_mv,1,SR,37820,False,1228.38,0.179323,0,6782,0,0,0.663312,1.382437399999999,1.63380896,0.6848890504220634,14332,7550,0.526793,,,,,,531.06,25.267,PASS,0,
memoryagentbench,pg_mv,8,SR,37820,False,1664.27,0.787626,29577,211,0,0,0.95425,1.3992269,1.6490229999999995,0.9788318778635458,14332,2973,0.207438,,,,,,73.32,4.826,NOT_MEASURED,,
memoryagentbench,pg_mv,32,SR,37820,False,738.09,0.876071,32719,414,0,0,3.989125,6.567362599999997,7.821023240000001,4.125412834649029,14332,1730,0.120709,,,,,,11.04,6.35,NOT_MEASURED,,
memoryagentbench,pg_trigger,1,SR,37820,False,852.77,0.378953,0,14332,0,0,0.739708,1.313,1.4462048300000003,0.7383391032016349,14332,0,0.0,,,,,,0.0,27.543,PASS,0,
memoryagentbench,pg_trigger,8,SR,37820,False,1598.6,0.817848,30631,300,0,0,0.843292,1.3422918,1.5974130399999995,0.8899238522281898,14332,2543,0.177435,,,,,,51.67,4.309,PASS,0,
memoryagentbench,pg_trigger,32,SR,37820,False,690.87,0.879482,32448,814,0,0,4.2060625,6.9411938,8.354292500000016,4.346993581834138,14332,1731,0.120779,,,,,,10.06,6.597,PASS,0,
mquake,epistemic,1,SR,12030,False,4016.32,0.5,0,6015,0,0,0.129625,0.1773333,0.23381449999999948,0.13042079334995843,6015,0,0.0,,0.0,0.0,3000,0,0.0,1.498,PASS,0,
mquake,epistemic,8,SR,12030,False,2308.6,0.702078,6583,1863,0,0,0.9250415,1.4196768,1.6986715,0.9550811986607143,6015,1748,0.290607,,0.13533333333333333,0.2906068162926018,3000,406,199.87,1.552,PASS,0,
mquake,epistemic,32,SR,12030,False,908.56,0.856858,9435,873,0,0,3.9081875,6.6169892999999975,8.025615499999997,4.073676590592335,6015,838,0.139318,,0.057666666666666665,0.13931837073981712,3000,173,18.12,1.895,PASS,0,
mquake,pg_conf,1,SR,12030,False,2956.32,0.5,0,6015,0,0,0.170334,0.267625,0.30330111999999826,0.17399863773898588,6015,0,0.0,,0.0,0.0,3000,0,0.0,2.035,PASS,0,
mquake,pg_conf,8,SR,12030,False,1848.11,0.741147,8506,410,0,0,0.971708,1.4305313499999999,1.6832340799999999,0.9973992854849069,6015,1483,0.24655,,0.102,0.24655029093931838,3000,306,117.95,1.685,NOT_MEASURED,,
mquake,pg_conf,32,SR,12030,False,789.74,0.8734,10099,408,0,0,3.681542,5.874042199999998,7.1531309799999985,3.7872330709126723,6015,741,0.123192,,0.048666666666666664,0.12319201995012469,3000,146,12.32,1.928,NOT_MEASURED,,
mquake,pg_heap,1,SR,12030,False,19288.55,0.0,0,0,0,0,0.047833,0.06352309999999997,0.12976624999999967,0.05086466400665004,6015,0,0.0,,0.0,0.0,3000,0,0.0,0.624,NOT_MEASURED,,
mquake,pg_heap,8,SR,12030,False,7338.12,0.0,0,0,0,0,1.0687085,1.5546582999999996,1.7901051799999947,1.0857713778054863,6015,3006,0.499751,,0.3,0.49975062344139654,3000,900,3667.23,1.639,NOT_MEASURED,,
mquake,pg_heap,32,SR,12030,False,7022.57,0.0,0,0,0,0,4.4128545,6.677027449999999,7.673259819999999,4.504298898669991,6015,3036,0.504738,,0.30733333333333335,0.5047381546134664,3000,922,3544.56,1.713,NOT_MEASURED,,
mquake,pg_llm,1,SR,100,True,1.07,0.45,0,45,0,0,1.307916,631.7687837999993,1345.1351618200001,83.2196772,50,5,0.1,,0.1,0.1,50,5,0.06,51.635,PASS,0,
mquake,pg_llm,8,SR,100,True,27.96,0.66,60,6,0,0,0.4033125,1.1439733499999996,1.5652743900000008,0.4911459705882353,50,15,0.3,,0.3,0.3,50,15,2.85,1.216,NOT_MEASURED,,
mquake,pg_llm,32,SR,100,True,14.78,0.84,81,3,0,0,3.3172915,6.173354,6.5001044,3.6703880625,50,11,0.22,,0.22,0.22,50,11,0.52,1.083,NOT_MEASURED,,
mquake,pg_lww,1,SR,12030,False,3218.92,0.0,0,0,0,0,0.296479,0.6052339999999996,0.6625928199999995,0.3095183110556941,6015,6015,1.0,,1.0,1.0,3000,3000,3218.92,3.737,PASS,0,
mquake,pg_lww,8,SR,12030,False,1973.24,0.729676,8778,0,0,0,0.963021,1.4172100499999998,1.6888509899999977,0.983715819803198,6015,1612,0.267997,,0.11033333333333334,0.26799667497921864,3000,331,142.95,1.648,NOT_MEASURED,,
mquake,pg_lww,32,SR,12030,False,837.4,0.86675,10427,0,0,0,3.758542,6.024536899999999,7.088902,3.866733187772926,6015,744,0.123691,,0.049,0.12369077306733167,3000,147,13.8,1.914,NOT_MEASURED,,
mquake,pg_mv,1,SR,12030,False,2763.67,0.257689,0,3100,0,0,0.268979,0.5217956499999999,0.5765809299999994,0.2771016908174692,6015,2915,0.484622,,0.2663333333333333,0.484621778886118,3000,799,994.2,3.231,PASS,0,
mquake,pg_mv,8,SR,12030,False,1909.06,0.740565,8725,184,0,0,0.974666,1.423042,1.6636248000000002,0.9945346696571611,6015,1539,0.25586,,0.113,0.25586034912718203,3000,339,126.72,1.635,NOT_MEASURED,,
mquake,pg_mv,32,SR,12030,False,796.16,0.872236,10309,184,0,0,3.827834,6.213942199999999,7.244851879999996,3.924647053350683,6015,739,0.12286,,0.051666666666666666,0.1228595178719867,3000,155,12.5,1.931,NOT_MEASURED,,
mquake,pg_trigger,1,SR,12030,False,1956.44,0.5,0,6015,0,0,0.267166,0.4175123,0.47037661999999913,0.26344538553615965,6015,0,0.0,,0.0,0.0,3000,0,0.0,3.074,PASS,0,
mquake,pg_trigger,8,SR,12030,False,1763.75,0.756775,8756,348,0,0,0.967959,1.411667,1.67086525,0.9930497573479152,6015,1395,0.23192,,0.097,0.23192019950124687,3000,291,99.49,1.659,PASS,0,
mquake,pg_trigger,32,SR,12030,False,795.46,0.869909,10034,431,0,0,3.830042,6.2548832,7.292581999999995,3.931675042172524,6015,753,0.125187,,0.04833333333333333,0.12518703241895263,3000,145,12.95,1.967,PASS,0,
